bin,cluster,n_uid_date,p_uid_date,bin_numeric,metric
"[1,1.26)",0,99665,0.0154345364420145,1.26,total_distance
"[1,1.26)",1,15220,0.00361080974899653,1.26,total_distance
"[1,1.26)",2,1450,0.0136406396989652,1.26,total_distance
"[1.26,1.58)",0,122595,0.0189855716160013,1.58,total_distance
"[1.26,1.58)",1,17463,0.004142941566802,1.58,total_distance
"[1.26,1.58)",2,1700,0.0159924741298213,1.58,total_distance
"[1.58,2)",0,152081,0.0235518962187128,2,total_distance
"[1.58,2)",2,1931,0.0181655691439323,2,total_distance
"[1.58,2)",1,20464,0.00485490214871649,2,total_distance
"[2,2.51)",0,185680,0.0287551771088472,2.51,total_distance
"[2,2.51)",1,22543,0.00534812642389151,2.51,total_distance
"[2,2.51)",2,2065,0.0194261523988711,2.51,total_distance
"[2.51,3.16)",0,223187,0.034563667133737,3.16,total_distance
"[2.51,3.16)",1,24482,0.00580813694316249,3.16,total_distance
"[2.51,3.16)",2,2406,0.0226340545625588,3.16,total_distance
"[3.16,3.98)",0,261886,0.0405567552365767,3.98,total_distance
"[3.16,3.98)",1,26488,0.00628404261704468,3.98,total_distance
"[3.16,3.98)",2,2459,0.0231326434619003,3.98,total_distance
"[3.98,5.01)",0,303852,0.0470557845480259,5.01,total_distance
"[3.98,5.01)",1,28018,0.00664702152085314,5.01,total_distance
"[3.98,5.01)",2,2672,0.0251364063969897,5.01,total_distance
"[5.01,6.31)",0,348294,0.0539382575180355,6.31,total_distance
"[5.01,6.31)",2,2828,0.0266039510818438,6.31,total_distance
"[5.01,6.31)",1,27134,0.00643730037643048,6.31,total_distance
"[6.31,7.94)",0,383884,0.0594498729494437,7.94,total_distance
"[6.31,7.94)",2,3165,0.0297742238946378,7.94,total_distance
"[6.31,7.94)",1,27358,0.00649044238587694,7.94,total_distance
"[7.94,10)",0,420928,0.0651866608685525,10,total_distance
"[7.94,10)",2,3248,0.030555032925682,10,total_distance
"[7.94,10)",1,25124,0.00596044573809388,10,total_distance
"[10,12.6)",0,447488,0.0692998529409943,12.6,total_distance
"[10,12.6)",2,3499,0.0329162746942615,12.6,total_distance
"[10,12.6)",1,22717,0.00538940637765796,12.6,total_distance
"[12.6,15.8)",2,3531,0.0332173095014111,15.8,total_distance
"[12.6,15.8)",0,460355,0.071292490079402,15.8,total_distance
"[12.6,15.8)",1,19678,0.00466843063342666,15.8,total_distance
"[15.8,20)",0,451520,0.0699242652315095,20,total_distance
"[15.8,20)",2,3562,0.0335089369708373,20,total_distance
"[15.8,20)",1,16001,0.00379609505871836,20,total_distance
"[20,25.1)",0,426404,0.066034697005175,25.1,total_distance
"[20,25.1)",2,3665,0.03447789275635,25.1,total_distance
"[20,25.1)",1,12473,0.00295910840993651,25.1,total_distance
"[25.1,31.6)",0,385687,0.0597290930287589,31.6,total_distance
"[25.1,31.6)",1,8366,0.00198475915638009,31.6,total_distance
"[25.1,31.6)",2,3516,0.0330761994355597,31.6,total_distance
"[31.6,39.8)",0,329429,0.0510167451518226,39.8,total_distance
"[31.6,39.8)",2,3157,0.0296989651928504,39.8,total_distance
"[31.6,39.8)",1,5045,0.0011968814181135,39.8,total_distance
"[39.8,50.1)",0,249132,0.038581617748176,50.1,total_distance
"[39.8,50.1)",1,2868,0.000680407513805653,50.1,total_distance
"[39.8,50.1)",2,3003,0.0282502351834431,50.1,total_distance
"[50.1,63.1)",0,173127,0.0268111673164767,63.1,total_distance
"[50.1,63.1)",2,2853,0.0268391345249294,63.1,total_distance
"[50.1,63.1)",1,1108,0.00026286315386913,63.1,total_distance
"[50.1,63.1)",3,,,63.1,total_distance
"[63.1,79.4)",0,119716,0.0185397177012212,79.4,total_distance
"[63.1,79.4)",2,2278,0.0214299153339605,79.4,total_distance
"[63.1,79.4)",1,392,9.29985165313166e-05,79.4,total_distance
"[63.1,79.4)",3,103,0.000585287131638463,79.4,total_distance
"[79.4,100)",3,6090,0.0346058119580412,100,total_distance
"[79.4,100)",0,86949,0.0134652837916693,100,total_distance
"[79.4,100)",2,1815,0.0170743179680151,100,total_distance
"[79.4,100)",1,148,3.5111684812844e-05,100,total_distance
"[100,126)",3,19427,0.110391971906218,126,total_distance
"[100,126)",2,1404,0.0132079021636877,126,total_distance
"[100,126)",0,52291,0.00809800175677902,126,total_distance
"[100,126)",1,17,4.03309893120506e-06,126,total_distance
"[126,158)",3,28442,0.161618801922924,158,total_distance
"[126,158)",0,26682,0.00413208549988292,158,total_distance
"[126,158)",2,1064,0.0100094073377234,158,total_distance
"[126,158)",1,,,158,total_distance
"[158,200)",3,42144,0.239479037628848,200,total_distance
"[158,200)",2,674,0.00634054562558796,200,total_distance
"[158,200)",0,4326,0.000669942353365322,200,total_distance
"[200,251)",3,30721,0.174568990010342,251,total_distance
"[200,251)",2,433,0.00407337723424271,251,total_distance
"[200,251)",0,376,5.82289239170969e-05,251,total_distance
"[200,251)",1,,,251,total_distance
"[251,316)",3,25236,0.14340102965076,316,total_distance
"[251,316)",2,198,0.00186265286923801,316,total_distance
"[251,316)",0,24,3.71673982449555e-06,316,total_distance
"[316,398)",3,14608,0.0830084895046084,398,total_distance
"[316,398)",2,67,0.000630291627469426,398,total_distance
"[316,398)",0,,,398,total_distance
"[398,501)",3,6186,0.0351513222943256,501,total_distance
"[398,501)",2,24,0.000225776105362183,501,total_distance
"[501,631)",3,2270,0.0128990464933914,631,total_distance
"[501,631)",2,,,631,total_distance
"[631,794)",3,499,0.00283551726881158,794,total_distance
"[794,1e+03)",3,210,0.00119330386062211,1000,total_distance
"[1e+03,1.26e+03)",3,34,0.000193201577434056,1260,total_distance
"[1.26e+03,1.58e+03)",3,12,6.81887920355491e-05,1580,total_distance
"[1.58e+03,2e+03)",3,,,2000,total_distance
,0,741714,0.114864915091079,,total_distance
,1,3892014,0.923345735507949,,total_distance
,2,47633,0.448099717779868,,total_distance
