bin,cluster,n_uid_date,p_uid_date,bin_numeric,metric
"[1,1.26)",0,18002,0.00278786416495013,1.26,min_distance_from_home
"[1,1.26)",1,2777,0.000658817790974695,1.26,min_distance_from_home
"[1,1.26)",3,342,0.00194340265939311,1.26,min_distance_from_home
"[1,1.26)",,21121,0.0019280331788576,1.26,min_distance_from_home
"[1.26,1.58)",0,19952,0.00308984922892373,1.58,min_distance_from_home
"[1.26,1.58)",1,3416,0.000810414682740208,1.58,min_distance_from_home
"[1.26,1.58)",3,310,0.00176156381406978,1.58,min_distance_from_home
"[1.26,1.58)",,23678,0.0021614492499877,1.58,min_distance_from_home
"[1.58,2)",0,22229,0.00344247486516367,2,min_distance_from_home
"[1.58,2)",3,366,0.00207978179338561,2,min_distance_from_home
"[1.58,2)",1,4256,0.00100969698177468,2,min_distance_from_home
"[1.58,2)",,26851,0.00245109695968493,2,min_distance_from_home
"[2,2.51)",0,23791,0.00368437264461329,2.51,min_distance_from_home
"[2,2.51)",3,417,0.00236958745311967,2.51,min_distance_from_home
"[2,2.51)",1,4966,0.00117813797262525,2.51,min_distance_from_home
"[2,2.51)",,29174,0.00266315231096972,2.51,min_distance_from_home
"[2.51,3.16)",0,25460,0.00394284088654762,3.16,min_distance_from_home
"[2.51,3.16)",1,5560,0.00131905902694249,3.16,min_distance_from_home
"[2.51,3.16)",3,405,0.00230139788612342,3.16,min_distance_from_home
"[2.51,3.16)",,31425,0.00286863513307135,3.16,min_distance_from_home
"[3.16,3.98)",0,27334,0.00423305627623302,3.98,min_distance_from_home
"[3.16,3.98)",3,428,0.00243209455619957,3.98,min_distance_from_home
"[3.16,3.98)",1,6747,0.00160066389474478,3.98,min_distance_from_home
"[3.16,3.98)",,34509,0.00315015846641716,3.98,min_distance_from_home
"[3.98,5.01)",1,7328,0.00173850081824363,5.01,min_distance_from_home
"[3.98,5.01)",0,28984,0.00448858209959529,5.01,min_distance_from_home
"[3.98,5.01)",3,525,0.00298329355608592,5.01,min_distance_from_home
"[3.98,5.01)",,36837,0.00336267024333968,5.01,min_distance_from_home
"[5.01,6.31)",0,29154,0.00451490900260838,6.31,min_distance_from_home
"[5.01,6.31)",3,458,0.00260256847369019,6.31,min_distance_from_home
"[5.01,6.31)",1,7408,0.00175748008481834,6.31,min_distance_from_home
"[5.01,6.31)",,37020,0.00337937542168024,6.31,min_distance_from_home
"[6.31,7.94)",0,28783,0.00445745440838571,7.94,min_distance_from_home
"[6.31,7.94)",1,7544,0.00178974483799535,7.94,min_distance_from_home
"[6.31,7.94)",3,554,0.00314808500966019,7.94,min_distance_from_home
"[6.31,7.94)",,36881,0.00336668678895162,7.94,min_distance_from_home
"[7.94,10)",0,28987,0.00448904669200141,10,min_distance_from_home
"[7.94,10)",1,8135,0.00192995416981604,10,min_distance_from_home
"[7.94,10)",3,543,0.00308557790658029,10,min_distance_from_home
"[7.94,10)",,37665,0.00343825432894614,10,min_distance_from_home
"[10,12.6)",0,28391,0.00439674766732025,12.6,min_distance_from_home
"[10,12.6)",3,596,0.00338674849414706,12.6,min_distance_from_home
"[10,12.6)",1,7522,0.00178452553968731,12.6,min_distance_from_home
"[10,12.6)",,36509,0.00333272872150523,12.6,min_distance_from_home
"[12.6,15.8)",3,575,0.00326741675190363,15.8,min_distance_from_home
"[12.6,15.8)",1,7010,0.00166305823360915,15.8,min_distance_from_home
"[12.6,15.8)",0,26341,0.00407927618980954,15.8,min_distance_from_home
"[12.6,15.8)",,33926,0.00309693923705899,15.8,min_distance_from_home
"[15.8,20)",0,21319,0.00330154850197599,20,min_distance_from_home
"[15.8,20)",1,5609,0.0013306838277195,20,min_distance_from_home
"[15.8,20)",3,556,0.0031594499374929,20,min_distance_from_home
"[15.8,20)",,27484,0.0025088804454203,20,min_distance_from_home
"[20,25.1)",0,15142,0.00234495273778885,25.1,min_distance_from_home
"[20,25.1)",1,3461,0.000821090520188483,25.1,min_distance_from_home
"[20,25.1)",3,536,0.00304580065916581,25.1,min_distance_from_home
"[20,25.1)",,19139,0.00174710605606532,25.1,min_distance_from_home
"[25.1,31.6)",0,10889,0.00168631557005566,31.6,min_distance_from_home
"[25.1,31.6)",1,2072,0.000491563004285044,31.6,min_distance_from_home
"[25.1,31.6)",3,478,0.00271621775201727,31.6,min_distance_from_home
"[25.1,31.6)",,13439,0.00122678082906431,31.6,min_distance_from_home
"[31.6,39.8)",0,9098,0.00140895390360606,39.8,min_distance_from_home
"[31.6,39.8)",1,1243,0.00029489035440459,39.8,min_distance_from_home
"[31.6,39.8)",3,495,0.0028128196385953,39.8,min_distance_from_home
"[31.6,39.8)",,10836,0.000989165642067181,39.8,min_distance_from_home
"[39.8,50.1)",0,9493,0.00147012523707763,50.1,min_distance_from_home
"[39.8,50.1)",3,582,0.0033071939993181,50.1,min_distance_from_home
"[39.8,50.1)",1,1020,0.00024198564882758,50.1,min_distance_from_home
"[39.8,50.1)",,11095,0.00101280849010109,50.1,min_distance_from_home
"[50.1,63.1)",0,10216,0.00158209200695092,63.1,min_distance_from_home
"[50.1,63.1)",3,631,0.00358563473121946,63.1,min_distance_from_home
"[50.1,63.1)",1,882,0.000209246413986201,63.1,min_distance_from_home
"[50.1,63.1)",,11729,0.00107068326096401,63.1,min_distance_from_home
"[63.1,79.4)",0,13327,0.00206387433209034,79.4,min_distance_from_home
"[63.1,79.4)",1,844,0.000200231262363213,79.4,min_distance_from_home
"[63.1,79.4)",3,839,0.00476758722582112,79.4,min_distance_from_home
"[63.1,79.4)",,15010,0.00137018976443599,79.4,min_distance_from_home
"[79.4,100)",0,15352,0.00237747420621677,100,min_distance_from_home
"[79.4,100)",1,806,0.000191216110740225,100,min_distance_from_home
"[79.4,100)",2,113,0.00106302916274694,100,min_distance_from_home
"[79.4,100)",3,952,0.00540970564836913,100,min_distance_from_home
"[79.4,100)",,17223,0.00157220375169094,100,min_distance_from_home
"[100,126)",2,10697,0.100630291627469,126,min_distance_from_home
"[100,126)",0,6894,0.0010676333492482,126,min_distance_from_home
"[100,126)",1,464,0.00011007974613333,126,min_distance_from_home
"[100,126)",3,817,0.00464257301966133,126,min_distance_from_home
"[100,126)",,18872,0.00172273292701106,126,min_distance_from_home
"[126,158)",2,20995,0.197507055503293,158,min_distance_from_home
"[126,158)",3,456,0.00259120354585748,158,min_distance_from_home
"[126,158)",,21451,0.00195815727094713,158,min_distance_from_home
"[158,200)",2,21430,0.201599247412982,200,min_distance_from_home
"[158,200)",3,204,0.00115922263893624,200,min_distance_from_home
"[158,200)",,21634,0.00197486244928769,200,min_distance_from_home
"[200,251)",2,17669,0.166218250235183,251,min_distance_from_home
"[200,251)",3,40,0.000227298556654165,251,min_distance_from_home
"[200,251)",,17709,0.00161656832367734,251,min_distance_from_home
"[251,316)",2,19820,0.186453433678269,316,min_distance_from_home
"[251,316)",3,,,316,min_distance_from_home
"[251,316)",,19827,0.00180991022381561,316,min_distance_from_home
"[316,398)",2,10947,0.102982126058326,398,min_distance_from_home
"[316,398)",3,,,398,min_distance_from_home
"[316,398)",,10948,0.000999389576352113,398,min_distance_from_home
"[398,501)",2,4273,0.0401975540921919,501,min_distance_from_home
"[398,501)",,4273,0.000390061349995669,501,min_distance_from_home
"[501,631)",2,356,0.00334901222953904,631,min_distance_from_home
"[501,631)",,356,3.2497505405677e-05,631,min_distance_from_home
"[631,794)",2,,,794,min_distance_from_home
"[631,794)",,,,794,min_distance_from_home
,0,6038135,0.935090556028837,,min_distance_from_home
,3,163875,0.931213774292533,,min_distance_from_home
,1,4126056,0.97886895907738,,min_distance_from_home
,,10328066,0.942798822093228,,min_distance_from_home
