n_visits,cluster,n_uid_date,p_uid_date
1,0,344733,0.053387183099115
1,1,3036550,0.720398092571944
1,2,33842,0.318450000470495
1,All Data,3415125,0.311751515659395
2,0,777184,0.120358841508363
2,3,20450,0.116222897900031
2,1,846259,0.200768427795307
2,2,15484,0.145702966943004
2,All Data,1659377,0.151477118641438
3,0,1209815,0.187358375673509
3,3,23801,0.135267539996022
3,1,259075,0.0614635477212878
3,2,13948,0.13124935306904
3,All Data,1506639,0.137534348465006
4,0,1036284,0.160484443469825
4,1,52303,0.0124084837844891
4,2,10518,0.0989733793791345
4,3,23858,0.135591486459606
4,All Data,1122963,0.102510279207766
5,0,879757,0.1362438410066
5,2,8838,0.0831647392044866
5,3,22852,0.129874115540905
5,1,14526,0.00344618158525302
5,All Data,925973,0.0845279414983864
6,0,661043,0.102372629476692
6,3,20580,0.116961723167855
6,2,6629,0.0623782593557979
6,1,3919,0.000929752556285735
6,All Data,692171,0.0631852006428693
7,0,482276,0.0746878225070092
7,2,4920,0.0462967319400401
7,3,16735,0.0951095450541332
7,1,1243,0.00029489217337667
7,All Data,505174,0.046115079293355
8,0,337322,0.0522394762826874
8,2,3608,0.0339509367560294
8,3,13155,0.074763433832514
8,1,514,0.000121942539916016
8,All Data,354599,0.0323697597309925
9,0,231529,0.0358558104845054
9,3,9962,0.0566167486004945
9,2,2495,0.0234777126403252
9,1,253,6.00223007757823e-05
9,All Data,244239,0.0222954879933048
10,0,155826,0.0241320418805357
10,3,7238,0.0411355176039328
10,2,1831,0.017229535809393
10,1,134,3.17904676045645e-05
10,All Data,165029,0.0150647606977063
11,0,105194,0.0162909014771673
11,2,1232,0.0115930027947417
11,3,5178,0.0294279787445654
11,1,88,2.08773220089678e-05
11,All Data,111692,0.0101958640714554
12,0,70537,0.0109237344097092
12,2,911,0.00857242333280011
12,3,3677,0.0208973885368418
12,1,64,1.51835069156129e-05
12,All Data,75189,0.0068636681558989
13,3,2506,0.0142422778551334
13,0,48485,0.00750864458163446
13,2,577,0.00542951510760226
13,1,38,9.01520723114517e-06
13,All Data,51606,0.00471088136367446
14,0,32709,0.00506548944252205
14,3,1752,0.00995709130175329
14,2,452,0.00425327699936954
14,1,37,8.77796493558872e-06
14,All Data,34950,0.00319042947836341
15,0,22811,0.00353263259877619
15,3,1233,0.00700747350174761
15,2,296,0.00278533184029509
15,1,37,8.77796493558872e-06
15,All Data,24377,0.00222526750769857
16,0,15940,0.00246855305004132
16,3,863,0.00490466312409423
16,2,184,0.00173142249531857
16,1,12,2.84690754667742e-06
16,All Data,16999,0.00155176282411158
17,0,11465,0.00177553078536535
17,2,131,0.0012326975374279
17,3,548,0.00311443266744338
17,1,20,4.74484591112904e-06
17,All Data,12164,0.00111039725822067
18,0,8328,0.00128971830619474
18,2,103,0.000969220201183766
18,3,436,0.00247790628285641
18,1,17,4.03311902445968e-06
18,All Data,8884,0.000810980700594579
19,0,5948,0.000921138867104502
19,3,272,0.00154584979113978
19,2,70,0.000658693340610326
19,1,11,2.60966525112097e-06
19,All Data,6301,0.00057519016146403
20,0,4410,0.000682956019490729
20,1,,
20,3,244,0.00138671819499304
20,2,56,0.000526954672488261
20,All Data,4717,0.000430593872659233
21,0,3441,0.000532891533575419
21,2,47,0.000442265528695505
21,3,136,0.00077292489556989
21,1,,
21,All Data,3629,0.000331275209641797
22,0,2624,0.000406366574862511
22,3,110,0.000625159842005058
22,2,32,0.000301116955707578
22,1,,
22,All Data,2768,0.000252678363264948
23,0,1991,0.000308336833289352
23,3,78,0.000443295160694496
23,2,25,0.000235247621646545
23,1,,
23,All Data,2096,0.000191334483165943
24,0,1589,0.000246080978451421
24,3,61,0.00034667954874826
24,2,16,0.000150558477853789
24,All Data,1666,0.000152081702745449
25,0,1230,0.000190484331966802
25,2,16,0.000150558477853789
25,3,45,0.000255747208092978
25,1,,
25,All Data,1294,0.000118123483404929
26,3,41,0.000233014122929158
26,0,932,0.000144334469425251
26,2,10,9.40990486586181e-05
26,All Data,983,8.97336817519666e-05
27,0,741,0.000114755195111707
27,3,34,0.000193231223892473
27,2,,
27,1,,
27,All Data,787,7.18417167230903e-05
28,0,552,8.54856514192477e-05
28,3,24,0.000136398510982922
28,2,,
28,All Data,582,5.31281818714594e-05
29,0,483,7.47999449918417e-05
29,3,23,0.000130715239691967
29,2,,
29,All Data,507,4.62817666818383e-05
30,3,22,0.000125031968401012
30,0,359,5.55966464846194e-05
30,2,,
30,All Data,382,3.48710746991366e-05
31,0,312,4.831797688914e-05
31,3,13,7.3882526782416e-05
31,All Data,325,2.96677991550246e-05
32,3,18,0.000102298883237191
32,0,260,4.026498074095e-05
32,2,,
32,All Data,279,2.54686645053903e-05
33,0,192,2.97341396240861e-05
33,3,,
33,2,,
33,1,,
33,All Data,203,1.85309637799077e-05
34,0,182,2.8185486518665e-05
34,3,,
34,2,,
34,1,,
34,All Data,191,1.74355373495683e-05
35,0,123,1.90484331966802e-05
35,3,10,5.68327129095507e-05
35,1,,
35,2,,
35,All Data,135,1.23235473413179e-05
36,0,98,1.51768004331273e-05
36,2,,
36,3,,
36,All Data,107,9.7675523371927e-06
37,0,96,1.48670698120431e-05
37,3,,
37,2,,
37,All Data,103,9.40241019374625e-06
38,0,91,1.40927432593325e-05
38,3,,
38,2,,
38,All Data,93,8.48955483513011e-06
39,0,59,9.1370533219848e-06
39,3,,
39,All Data,60,5.47713215169684e-06
40,0,71,1.09954370484902e-05
40,3,,
40,1,,
40,All Data,74,6.75512965375944e-06
41,0,60,9.29191863252692e-06
41,3,,
41,All Data,61,5.56841768755846e-06
42,0,30,4.64595931626346e-06
42,3,,
42,2,,
42,All Data,32,2.92113714757165e-06
43,0,41,6.34947773222673e-06
43,All Data,41,3.74270697032618e-06
44,0,19,2.94244090030019e-06
44,3,,
44,All Data,20,1.82571071723228e-06
45,0,17,2.63271027921596e-06
45,All Data,17,1.55185410964744e-06
46,0,15,2.32297965813173e-06
46,All Data,15,1.36928303792421e-06
47,0,,
47,All Data,,
48,0,,
48,2,,
48,All Data,,
49,0,10,1.54865310542115e-06
49,All Data,10,9.1285535861614e-07
50,0,10,1.54865310542115e-06
50,All Data,10,9.1285535861614e-07
51,0,,
51,All Data,,
52,0,,
52,All Data,,
53,0,,
53,All Data,,
54,0,,
54,All Data,,
55,0,,
55,All Data,,
56,0,,
56,All Data,,
57,0,,
57,All Data,,
59,0,,
59,All Data,,
60,0,,
60,All Data,,
62,0,,
62,All Data,,
64,0,,
64,All Data,,
65,0,,
65,All Data,,
68,0,,
68,All Data,,
72,0,,
72,All Data,,
80,0,,
80,All Data,,
