value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[20,30)",,,30,all_data,3
"[30,40)",,,40,all_data,3
"",,,,all_data,3
"[40,50]",12,1,,all_data,3
"[20,30)",,,30,0,3
"[30,40)",,,40,0,3
"",,,,0,3
"[40,50]",12,1,,0,3
"[20,30)",,,30,1,3
"[30,40)",,,40,1,3
"",,,,1,3
"[40,50]",12,1,,1,3
"[20,30)",,,30,2,3
"[30,40)",,,40,2,3
"",,,,2,3
"[40,50]",12,1,,2,3
"[0,10)",,,10,3,3
"[10,20)",,,20,3,3
"[20,30]",10,1,,3,3
"",,,,3,3
"[0,10)",,,10,all_data,4
"[10,20)",,,20,all_data,4
"[20,30)",,,30,all_data,4
"[40,50)",,,50,all_data,4
"[50,60)",,,60,all_data,4
"[60,70)",,,70,all_data,4
"[70,80)",,,80,all_data,4
"[80,90)",,,90,all_data,4
"[90,100)",,,100,all_data,4
"[100,110)",,,110,all_data,4
"[110,120)",,,120,all_data,4
"[120,130)",,,130,all_data,4
"[130,140)",11,0.333333333333333,140,all_data,4
"[140,150)",,,150,all_data,4
"[150,160)",,,160,all_data,4
"[160,170)",,,170,all_data,4
"[170,180)",,,180,all_data,4
"[180,190)",,,190,all_data,4
"[190,200)",12,0.363636363636364,200,all_data,4
"[200,210)",,,210,all_data,4
"[210,220)",10,0.303030303030303,220,all_data,4
"[220,230)",,,230,all_data,4
"[230,240)",,,240,all_data,4
"[240,250]",,,,all_data,4
"",,,,all_data,4
"[0,10)",,,10,0,4
"[10,20)",,,20,0,4
"[20,30)",,,30,0,4
"[30,40)",,,40,0,4
"[50,60)",,,60,0,4
"[60,70)",,,70,0,4
"[70,80)",,,80,0,4
"[80,90)",,,90,0,4
"[90,100)",,,100,0,4
"[100,110)",,,110,0,4
"[110,120)",,,120,0,4
"[120,130)",,,130,0,4
"[130,140)",10,0.3125,140,0,4
"[140,150)",,,150,0,4
"[150,160)",,,160,0,4
"[160,170)",,,170,0,4
"[170,180)",,,180,0,4
"[180,190)",,,190,0,4
"[190,200)",12,0.375,200,0,4
"[200,210)",,,210,0,4
"[210,220)",10,0.3125,220,0,4
"[220,230)",,,230,0,4
"[230,240)",,,240,0,4
"[240,250]",,,,0,4
"",,,,0,4
"[0,10)",,,10,1,4
"[10,20)",,,20,1,4
"[20,30)",,,30,1,4
"[40,50)",,,50,1,4
"[50,60)",,,60,1,4
"[60,70)",,,70,1,4
"[70,80)",,,80,1,4
"[80,90)",,,90,1,4
"[90,100)",,,100,1,4
"[100,110)",,,110,1,4
"[110,120)",,,120,1,4
"[120,130)",,,130,1,4
"[130,140)",11,0.333333333333333,140,1,4
"[140,150)",,,150,1,4
"[150,160)",,,160,1,4
"[160,170)",,,170,1,4
"[170,180)",,,180,1,4
"[180,190)",,,190,1,4
"[190,200)",12,0.363636363636364,200,1,4
"[200,210)",,,210,1,4
"[210,220)",10,0.303030303030303,220,1,4
"[220,230)",,,230,1,4
"[230,240)",,,240,1,4
"[240,250]",,,,1,4
"",,,,1,4
"[0,10)",,,10,2,4
"[10,20)",,,20,2,4
"[20,30)",,,30,2,4
"[40,50)",,,50,2,4
"[50,60)",,,60,2,4
"[60,70)",,,70,2,4
"[70,80)",,,80,2,4
"[80,90)",,,90,2,4
"[90,100)",,,100,2,4
"[100,110)",,,110,2,4
"[110,120)",,,120,2,4
"[120,130)",,,130,2,4
"[130,140)",11,0.333333333333333,140,2,4
"[140,150)",,,150,2,4
"[150,160)",,,160,2,4
"[160,170)",,,170,2,4
"[170,180)",,,180,2,4
"[180,190)",,,190,2,4
