value_binned,n,p,bin_numeric,cluster_removed,h3_resolution
"[100,126)",122,0.205042016806723,126,all_data,3
"[158,200)",45,0.0756302521008403,200,all_data,3
"[200,251)",126,0.211764705882353,251,all_data,3
"[251,316)",111,0.18655462184874,316,all_data,3
"[316,398)",73,0.122689075630252,398,all_data,3
"[398,501)",88,0.147899159663866,501,all_data,3
"[501,631)",30,0.0504201680672269,631,all_data,3
"[100,126)",122,0.205042016806723,126,0,3
"[158,200)",45,0.0756302521008403,200,0,3
"[200,251)",126,0.211764705882353,251,0,3
"[251,316)",111,0.18655462184874,316,0,3
"[316,398)",73,0.122689075630252,398,0,3
"[398,501)",88,0.147899159663866,501,0,3
"[501,631)",30,0.0504201680672269,631,0,3
"[100,126)",122,0.205042016806723,126,1,3
"[158,200)",45,0.0756302521008403,200,1,3
"[200,251)",126,0.211764705882353,251,1,3
"[251,316)",111,0.18655462184874,316,1,3
"[316,398)",73,0.122689075630252,398,1,3
"[398,501)",88,0.147899159663866,501,1,3
"[501,631)",30,0.0504201680672269,631,1,3
"[100,126)",122,0.205042016806723,126,2,3
"[158,200)",45,0.0756302521008403,200,2,3
"[200,251)",126,0.211764705882353,251,2,3
"[251,316)",111,0.18655462184874,316,2,3
"[316,398)",73,0.122689075630252,398,2,3
"[398,501)",88,0.147899159663866,501,2,3
"[501,631)",30,0.0504201680672269,631,2,3
"[100,126)",120,0.461538461538462,126,3,3
"[158,200)",32,0.123076923076923,200,3,3
"[200,251)",78,0.3,251,3,3
"[251,316)",30,0.115384615384615,316,3,3
"[316,398)",,,398,3,3
"[398,501)",,,501,3,3
"[31.6,39.8)",,,39.8,all_data,4
"[39.8,50.1)",693,0.0677883204538785,50.1,all_data,4
"[63.1,79.4)",598,0.0584955492516874,79.4,all_data,4
"[79.4,100)",574,0.0561479017900812,100,all_data,4
"[100,126)",1144,0.111904529003228,126,all_data,4
"[126,158)",1283,0.125501320551697,158,all_data,4
"[158,200)",1540,0.15064071211973,200,all_data,4
"[200,251)",1608,0.157292379927614,251,all_data,4
"[251,316)",1532,0.149858162965861,316,all_data,4
