h3_resolution,cluster_removed,n_edges,perc_edges,density,mean_shortest_path_distance_km,mean_shortest_path_distance_topological,transitivity,diameter,perc_days,sigma
3,none,595,1,0.758928571428571,311.748659315737,1.21296296296296,0.871438797423049,671.716099856639,1,
3,0,595,0,0.758928571428571,311.748659315737,1.21296296296296,0.871438797423049,671.716099856639,0.589452935583378,1.13625290194711
3,1,595,0,0.758928571428571,311.748659315737,1.21296296296296,0.871438797423049,671.716099856639,0.384778279399651,1.1412782127063
3,2,595,0,0.758928571428571,311.748659315737,1.21296296296296,0.871438797423049,671.716099856639,0.00970369945725524,1.17481956493391
3,3,265,0.554621848739496,0.338010204081633,320.673298009709,1.80555555555556,0.609769792251544,681.758996619944,0.0160650855597165,1.01366116318854
4,none,10229,1,0.521887755102041,265.964296485267,1.50601233299075,0.77896014293259,791.501103230181,1,
4,0,10192,0.00361716687848279,0.52,266.122453657271,1.50909558067831,0.779319929758003,791.501103230181,0.589452935583378,1.08322007484612
4,1,10229,0,0.521887755102041,265.964296485267,1.50601233299075,0.77896014293259,791.501103230181,0.384778279399651,1.08317889426438
4,2,10201,0.00273731547560852,0.52045918367347,266.033541585234,1.50765673175745,0.778933430994169,791.501103230181,0.00970369945725524,1.08390593136257
4,3,3234,0.683840062567211,0.165,268.237643500884,2.28926002055498,0.537483393433289,805.411859480162,0.0160650855597165,1.16856577449628
5,none,98091,1,0.155201139195443,237.838205714713,1.93998225686358,0.475805434714079,739.449945568633,1,
5,0,88038,0.102486466648316,0.140352387511478,238.410654822562,1.96347482409429,0.45837867594364,743.49122816773,0.589452935583378,1.12967417986281
5,1,98082,9.17515368382693e-05,0.155186899252403,237.839526364195,1.94032127750582,0.475820139234408,739.449945568633,0.384778279399651,1.15193539893879
5,2,96916,0.0119786728649927,0.153342035520747,237.908486037059,1.94384297324272,0.473876052910683,739.449945568633,0.00970369945725524,1.148488559137
5,3,40073,0.591471184920125,0.0634041374945611,238.564762466139,2.79677138285569,0.50309027590415,752.591926421682,0.0160650855597165,2.03855181355099
6,none,434226,1,0.0175088305027338,228.577015927515,2.61956814616107,0.259772338841718,750.794792424081,1,
6,0,252924,0.417529120780423,0.0106293436858108,231.649996776478,2.75235786914601,0.195485429123145,1048.404907458,0.589452935583378,1.32555900701528
6,1,433905,0.00073924638321976,0.0174958871631103,228.597678124077,2.6198820902661,0.259738213655794,760.27014256894,0.384778279399651,1.62884356217058
6,2,425768,0.0194783361659596,0.0172369427834613,228.674559030562,2.62473185390895,0.258682149410656,753.45102600504,0.00970369945725524,1.6203203078997
6,3,282843,0.348627212557516,0.0114737908562353,229.092700924054,3.55825368664375,0.375051228579515,763.395767225525,0.0160650855597165,3.23430541254839
