value_binned,n,p,bin_numeric
"[0,0.02)",612659,0.905467158915909,0.02
"[0.02,0.04)",10500,0.0155182657377384,0.04
"[0.04,0.06)",8180,0.0120894679747333,0.06
"[0.06,0.08)",5854,0.0086518026313067,0.08
"[0.08,0.1)",4497,0.0066462515259628,0.1
"[0.1,0.12)",4360,0.00644377510633707,0.12
"[0.12,0.14)",3006,0.00444265779120395,0.14
"[0.14,0.16)",2821,0.0041692407282057,0.16
"[0.16,0.18)",2635,0.0038943457351372,0.18
"[0.18,0.2)",1248,0.00184445672768547,0.2
"[0.2,0.22)",2641,0.00390321331555876,0.22
"[0.22,0.24)",1198,0.00177056022417243,0.24
"[0.24,0.26)",2531,0.00374064100783007,0.26
"[0.26,0.28)",694,0.00102568346876099,0.28
"[0.28,0.3)",897,0.00132570327302393,0.3
"[0.3,0.32)",669,0.000988735217004472,0.32
"[0.32,0.34)",2873,0.00424609309185927,0.34
"[0.34,0.36)",273,0.000403474909181197,0.36
"[0.36,0.38)",566,0.00083650841976761,0.38
"[0.38,0.4)",214,0.00031627703503581,0.4
"[0.4,0.42)",907,0.00134048257372654,0.42
"[0.42,0.44)",391,0.000577870657471971,0.44
"[0.44,0.46)",293,0.000433033510586413,0.46
"[0.46,0.48)",165,0.000243858461593031,0.48
"[0.48,0.5)",61,9.01537342859085e-05,0.5
"[0.5,0.52)",3006,0.00444265779120395,0.52
"[0.52,0.54)",137,0.000202476419625729,0.54
"[0.54,0.56)",150,0.000221689510539119,0.56
"[0.56,0.58)",174,0.000257159832225378,0.58
"[0.58,0.6)",51,7.53744335833006e-05,0.6
"[0.6,0.62)",313,0.000462592111991629,0.62
"[0.62,0.64)",83,0.000122668195831646,0.64
"[0.64,0.66)",40,5.91172028104318e-05,0.66
"[0.66,0.68)",683,0.00100942623798812,0.68
"[0.68,0.7)",41,6.05951328806926e-05,0.7
"[0.7,0.72)",50,7.38965035130398e-05,0.72
"[0.72,0.74)",27,3.99041118970415e-05,0.74
"[0.74,0.76)",162,0.000239424671382249,0.76
"[0.76,0.78)",38,5.61613426699102e-05,0.78
"[0.78,0.8)",,,0.8
"[0.8,0.82)",65,9.60654545669517e-05,0.82
"[0.82,0.84)",33,4.87716923186063e-05,0.84
"[0.84,0.86)",16,2.36468811241727e-05,0.86
"[0.86,0.88)",,,0.88
"[0.88,0.9)",10,1.4779300702608e-05,0.9
"[0.9,0.92)",,,0.92
"[1,1.02)",1410,0.00208388139906772,1
