cluster,week,year,n_days_per_cluster,n_days_per_time,p_days_per_cluster,wt,n_data
0,2017-12-31,2018,36923,94119,0.392301235669737,116.391886866626,94119
1,2017-12-31,2018,56187,94119,0.596978293437032,116.391886866626,94119
2,2017-12-31,2018,601,94119,0.00638553320796014,116.391886866626,94119
3,2017-12-31,2018,408,94119,0.00433493768527077,116.391886866626,94119
0,2018-01-07,2018,50388,122809,0.410295662370022,89.2010194692571,122809
1,2018-01-07,2018,71467,122809,0.581936177315995,89.2010194692571,122809
2,2018-01-07,2018,503,122809,0.00409579102508774,89.2010194692571,122809
3,2018-01-07,2018,451,122809,0.00367236928889577,89.2010194692571,122809
0,2018-01-14,2018,43346,110899,0.390860152030226,98.7807644793912,110899
1,2018-01-14,2018,66718,110899,0.601610474395621,98.7807644793912,110899
2,2018-01-14,2018,471,110899,0.004247107728654,98.7807644793912,110899
3,2018-01-14,2018,364,110899,0.00328226584549906,98.7807644793912,110899
0,2018-01-21,2018,48427,117794,0.411116016095896,92.9986926329015,117794
1,2018-01-21,2018,68364,117794,0.580369118970406,92.9986926329015,117794
3,2018-01-21,2018,441,117794,0.00374382396386913,92.9986926329015,117794
2,2018-01-21,2018,562,117794,0.00477104096982868,92.9986926329015,117794
0,2018-01-28,2018,49040,119437,0.410593032309921,91.7193834406424,119437
1,2018-01-28,2018,69298,119437,0.580205463968452,91.7193834406424,119437
3,2018-01-28,2018,527,119437,0.00441236802665841,91.7193834406424,119437
2,2018-01-28,2018,572,119437,0.0047891356949689,91.7193834406424,119437
0,2018-02-04,2018,47871,116284,0.41167314505865,94.206322451928,116284
3,2018-02-04,2018,507,116284,0.00436001513535826,94.206322451928,116284
1,2018-02-04,2018,67380,116284,0.5794434315985,94.206322451928,116284
2,2018-02-04,2018,526,116284,0.004523408207492,94.206322451928,116284
0,2018-02-11,2018,44406,107335,0.413714072762845,102.060725765128,107335
1,2018-02-11,2018,61486,107335,0.572842036614338,102.060725765128,107335
2,2018-02-11,2018,838,107335,0.00780733218428285,102.060725765128,107335
3,2018-02-11,2018,605,107335,0.00563655843853356,102.060725765128,107335
0,2018-02-18,2018,44949,110369,0.407261096865968,99.2551169259484,110369
1,2018-02-18,2018,64275,110369,0.582364613251909,99.2551169259484,110369
3,2018-02-18,2018,491,110369,0.00444871295381855,99.2551169259484,110369
2,2018-02-18,2018,654,110369,0.00592557692830414,99.2551169259484,110369
0,2018-02-25,2018,38904,107662,0.361353123664803,101.750738422099,107662
1,2018-02-25,2018,67983,107662,0.631448421913024,101.750738422099,107662
2,2018-02-25,2018,482,107662,0.00447697423417733,101.750738422099,107662
3,2018-02-25,2018,293,107662,0.00272148018799576,101.750738422099,107662
0,2018-03-04,2018,37998,98066,0.387473742173638,111.707299165868,98066
1,2018-03-04,2018,59196,98066,0.603634287112761,111.707299165868,98066
