n_visits,n_uid_date,p_uid_date
1,3415125,0.311751515659395
2,1659377,0.151477118641438
3,1506639,0.137534348465006
4,1122963,0.102510279207766
5,925973,0.0845279414983864
6,692171,0.0631852006428693
13,51606,0.00471088136367446
8,354599,0.0323697597309925
7,505174,0.046115079293355
12,75189,0.0068636681558989
10,165029,0.0150647606977063
11,111692,0.0101958640714554
9,244239,0.0222954879933048
14,34950,0.00319042947836341
15,24377,0.00222526750769857
17,12164,0.00111039725822067
19,6301,0.00057519016146403
18,8884,0.000810980700594579
16,16999,0.00155176282411158
20,4717,0.000430593872659233
28,582,5.31281818714594e-05
24,1666,0.000152081702745449
21,3629,0.000331275209641797
22,2768,0.000252678363264948
23,2096,0.000191334483165943
25,1294,0.000118123483404929
26,983,8.97336817519666e-05
37,103,9.40241019374625e-06
35,135,1.23235473413179e-05
27,787,7.18417167230903e-05
32,279,2.54686645053903e-05
30,382,3.48710746991366e-05
57,,
52,,
46,15,1.36928303792421e-06
51,,
68,,
56,,
42,32,2.92113714757165e-06
41,61,5.56841768755846e-06
29,507,4.62817666818383e-05
39,60,5.47713215169684e-06
34,191,1.74355373495683e-05
38,93,8.48955483513011e-06
36,107,9.7675523371927e-06
33,203,1.85309637799077e-05
45,17,1.55185410964744e-06
40,74,6.75512965375944e-06
31,325,2.96677991550246e-05
43,41,3.74270697032618e-06
44,20,1.82571071723228e-06
65,,
49,10,9.1285535861614e-07
48,,
47,,
55,,
54,,
50,10,9.1285535861614e-07
64,,
62,,
59,,
80,,
72,,
60,,
53,,
