kcluster,n_movements,p_movements,visit_SPRGRP_NAME,home_SPRGRP_NAME
3,6284,0.0043276716864628,Urbanites,Ethnicity Central
3,9208,0.00634137506189521,Cosmopolitans,Ethnicity Central
0,172292,0.222705944702248,Urbanites,Hard-pressed living
3,7444,0.0164425801862933,Suburbanites,Rural Residents
2,4467,0.00986687341377917,Suburbanites,Rural Residents
0,113435,0.146626940527125,Constrained City Dwellers,Hard-pressed living
0,77011,0.0995450021328025,Cosmopolitans,Hard-pressed living
0,97403,0.0766467527643917,Hard-pressed living,Urbanites
0,103299,0.0812863352649189,Constrained City Dwellers,Urbanites
0,24452,0.0690820327950367,Rural Residents,Constrained City Dwellers
0,48950,0.138294025246076,Hard-pressed living,Constrained City Dwellers
0,47392,0.133892348201471,Multicultural Metropolitans,Constrained City Dwellers
0,74811,0.211356778808665,Urbanites,Constrained City Dwellers
3,3373,0.00952943303687464,Urbanites,Constrained City Dwellers
2,1243,0.003511735921979,Urbanites,Constrained City Dwellers
0,34911,0.0986309032761134,Ethnicity Central,Constrained City Dwellers
3,3512,0.00992213721479506,Rural Residents,Constrained City Dwellers
3,2211,0.00624653911785646,Hard-pressed living,Constrained City Dwellers
0,32888,0.0929155036219191,Suburbanites,Constrained City Dwellers
0,34180,0.0754980374486169,Cosmopolitans,Rural Residents
0,120999,0.267267028474114,Urbanites,Rural Residents
0,64277,0.141977394765499,Hard-pressed living,Rural Residents
0,57965,0.128035217691898,Constrained City Dwellers,Rural Residents
2,4305,0.00950904187291679,Cosmopolitans,Rural Residents
0,180609,0.14212183782865,Ethnicity Central,Urbanites
0,96048,0.0943213533063735,Rural Residents,Suburbanites
0,89115,0.115190724248026,Rural Residents,Hard-pressed living
0,48965,0.138336403394772,Cosmopolitans,Constrained City Dwellers
0,21707,0.0479472176388861,Multicultural Metropolitans,Rural Residents
0,8521,0.0188214972820265,Ethnicity Central,Rural Residents
1,4456,0.00984257621038727,Hard-pressed living,Rural Residents
0,100287,0.129631736101237,Suburbanites,Hard-pressed living
3,6920,0.0152851497701705,Cosmopolitans,Rural Residents
0,95721,0.0753231812301504,Rural Residents,Urbanites
0,80757,0.104387110117239,Multicultural Metropolitans,Hard-pressed living
0,54999,0.121483808122776,Suburbanites,Rural Residents
0,23160,0.0397567218213934,Suburbanites,Cosmopolitans
0,13275,0.0227880173652417,Rural Residents,Cosmopolitans
0,140638,0.138109762684301,Cosmopolitans,Suburbanites
0,246950,0.242510600939207,Urbanites,Suburbanites
0,118121,0.115997548870379,Multicultural Metropolitans,Suburbanites
2,6122,0.00601194532881079,Urbanites,Suburbanites
3,13371,0.0131306306748659,Urbanites,Suburbanites
2,6635,0.0146556313186534,Urbanites,Rural Residents
0,214442,0.168745140871448,Multicultural Metropolitans,Urbanites
0,145156,0.11422375126298,Suburbanites,Urbanites
2,7756,0.00610322284160264,Rural Residents,Urbanites
3,15441,0.0121505755411535,Rural Residents,Urbanites
2,3850,0.00497653917247263,Rural Residents,Hard-pressed living
2,3214,0.0041544407533317,Urbanites,Hard-pressed living
0,106823,0.104902652051544,Hard-pressed living,Suburbanites
2,4301,0.00422368129029977,Cosmopolitans,Suburbanites
0,83551,0.0820490108081461,Ethnicity Central,Suburbanites
0,989402,0.447984503951212,Ethnicity Central,Multicultural Metropolitans
0,246731,0.111715626857826,Urbanites,Multicultural Metropolitans
0,90119,0.0884989384330447,Constrained City Dwellers,Suburbanites
2,7349,0.00721688765459498,Rural Residents,Suburbanites
2,2103,0.00206519454859345,Multicultural Metropolitans,Suburbanites
3,13658,0.0134124713003753,Rural Residents,Suburbanites
3,6073,0.00596382619762625,Hard-pressed living,Suburbanites
3,9165,0.00900024157767901,Cosmopolitans,Suburbanites
3,5054,0.00496314467360499,Constrained City Dwellers,Suburbanites
2,2576,0.00252969146798703,Constrained City Dwellers,Suburbanites
2,1778,0.00174603704583887,Ethnicity Central,Suburbanites
1,16939,0.0166344890435684,Urbanites,Suburbanites
3,4185,0.00924398147227799,Multicultural Metropolitans,Rural Residents
2,2958,0.00232766028435542,Multicultural Metropolitans,Urbanites
3,11309,0.0249797339235345,Urbanites,Rural Residents
3,3914,0.00864538673416872,Ethnicity Central,Rural Residents
0,468884,0.322911523080112,Multicultural Metropolitans,Ethnicity Central
3,6066,0.00595695203602846,Multicultural Metropolitans,Suburbanites
1,8173,0.00802607467696351,Hard-pressed living,Suburbanites
0,43873,0.0567105722373745,Ethnicity Central,Hard-pressed living
1,12337,0.0159468996807259,Urbanites,Hard-pressed living
3,9356,0.0120936364928971,Rural Residents,Hard-pressed living
1,6549,0.00643126918627603,Rural Residents,Suburbanites
1,1859,0.00525206522844647,Rural Residents,Constrained City Dwellers
1,3502,0.00989388511566409,Hard-pressed living,Constrained City Dwellers
3,4160,0.00918876055547824,Constrained City Dwellers,Rural Residents
2,1224,0.00345805693363017,Rural Residents,Constrained City Dwellers
1,4886,0.0138039756353897,Urbanites,Constrained City Dwellers
3,4250,0.00549358220337888,Constrained City Dwellers,Hard-pressed living
3,8300,0.0107286428913046,Urbanites,Hard-pressed living
3,5424,0.00701110349908871,Suburbanites,Hard-pressed living
2,4619,0.00363470684700394,Suburbanites,Urbanites
3,1963,0.00554588705940851,Multicultural Metropolitans,Constrained City Dwellers
3,10248,0.00806418613728002,Suburbanites,Urbanites
0,279777,0.220157475110245,Cosmopolitans,Urbanites
1,9275,0.00729852912014756,Suburbanites,Urbanites
3,13486,0.0106121793762059,Cosmopolitans,Urbanites
2,4909,0.00386290883566624,Cosmopolitans,Urbanites
1,7360,0.00579160909156723,Hard-pressed living,Urbanites
1,4989,0.00489931317305407,Constrained City Dwellers,Suburbanites
1,5964,0.0058567856813178,Multicultural Metropolitans,Suburbanites
0,86021,0.0389488549794595,Suburbanites,Multicultural Metropolitans
2,4125,0.00186773028435231,Urbanites,Multicultural Metropolitans
2,2166,0.0037181804604982,Multicultural Metropolitans,Cosmopolitans
3,3362,0.00577124778771696,Multicultural Metropolitans,Cosmopolitans
0,52404,0.0237276455324118,Constrained City Dwellers,Multicultural Metropolitans
2,1674,0.00216382508434264,Suburbanites,Hard-pressed living
2,2437,0.00538293496963954,Ethnicity Central,Rural Residents
2,2416,0.00533654939952775,Constrained City Dwellers,Rural Residents
3,5360,0.0118393645618662,Hard-pressed living,Rural Residents
