bin,n_uid_date,p_uid_date,bin_numeric,metric
,4681361,0.427338635964679,,total_distance
"[1,1.26)",116335,0.0106196553128355,1.26,total_distance
"[200,251)",31531,0.00287831135659102,251,total_distance
"[5.01,6.31)",378256,0.0345291472042971,6.31,total_distance
"[126,158)",56192,0.00512949388695451,158,total_distance
"[7.94,10)",449300,0.0410144078055357,10,total_distance
"[79.4,100)",95002,0.00867226968693857,100,total_distance
"[15.8,20)",471083,0.0430028717388274,20,total_distance
"[3.98,5.01)",334542,0.0305387091388371,5.01,total_distance
"[2.51,3.16)",250075,0.022828128270575,3.16,total_distance
"[1.26,1.58)",141758,0.0129403971103875,1.58,total_distance
"[3.16,3.98)",290833,0.0265487274990148,3.98,total_distance
"[10,12.6)",473704,0.0432421300581203,12.6,total_distance
"[2,2.51)",210288,0.0191961669009804,2.51,total_distance
"[25.1,31.6)",397569,0.0362921368725551,31.6,total_distance
"[251,316)",25458,0.00232393677701608,316,total_distance
"[12.6,15.8)",483564,0.0441422014157045,15.8,total_distance
"[39.8,50.1)",255003,0.023277981379112,50.1,total_distance
"[31.6,39.8)",337631,0.0308206888978206,39.8,total_distance
"[6.31,7.94)",414407,0.0378291958501416,7.94,total_distance
"[63.1,79.4)",122489,0.0111814239877415,79.4,total_distance
"[20,25.1)",442542,0.0403975029135931,25.1,total_distance
"[50.1,63.1)",177093,0.0161659570921561,63.1,total_distance
"[1.58,2)",174476,0.0159270639133733,2,total_distance
"[100,126)",73139,0.0066765029434433,126,total_distance
"[316,398)",14676,0.00133970053183628,398,total_distance
"[398,501)",6210,0.000566880642048468,501,total_distance
"[158,200)",47144,0.00430354605293606,200,total_distance
"[501,631)",2271,0.000207308524652507,631,total_distance
"[631,794)",499,4.55512786444743e-05,794,total_distance
"[794,1e+03)",210,1.91698767842477e-05,1000,total_distance
"[1e+03,1.26e+03)",34,3.10369433649725e-06,1260,total_distance
"[1.26e+03,1.58e+03)",12,1.09542153052844e-06,1580,total_distance
"[1.58e+03,2e+03)",,,2000,total_distance
