bin,app_cluster,n_uid_date,p_uid_date,bin_numeric,metric
"[1,1.26)",3,2830,0.0350664155432197,1.26,total_distance
"[1,1.26)",4,44437,0.0208950002374592,1.26,total_distance
"[1,1.26)",6,13672,0.018014717992977,1.26,total_distance
"[1,1.26)",1,3044,0.0262531479628799,1.26,total_distance
"[1,1.26)",8,283,0.0311880096980384,1.26,total_distance
"[1,1.26)",5,312,0.3557582668187,1.26,total_distance
"[1,1.26)",2,10,0.0617283950617284,1.26,total_distance
"[1,1.26)",7,51747,0.0162686817736815,1.26,total_distance
"[1,1.26)",All Data,116335,0.0106196553128355,1.26,total_distance
"[1.26,1.58)",4,53012,0.0249271047232754,1.58,total_distance
"[1.26,1.58)",3,3530,0.0437400872323553,1.58,total_distance
"[1.26,1.58)",6,16436,0.0216566636141435,1.58,total_distance
"[1.26,1.58)",1,3693,0.031850484700038,1.58,total_distance
"[1.26,1.58)",8,275,0.0303063698479171,1.58,total_distance
"[1.26,1.58)",5,145,0.165336374002281,1.58,total_distance
"[1.26,1.58)",2,11,0.0679012345679012,1.58,total_distance
"[1.26,1.58)",7,64656,0.0203271279254672,1.58,total_distance
"[1.26,1.58)",All Data,141758,0.0129403971103875,1.58,total_distance
"[1.58,2)",4,63943,0.0300670387331245,2,total_distance
"[1.58,2)",3,4069,0.0504188144329897,2,total_distance
"[1.58,2)",6,19213,0.0253157385019797,2,total_distance
"[1.58,2)",1,3989,0.0344033532273088,2,total_distance
"[1.58,2)",5,105,0.119726339794755,2,total_distance
"[1.58,2)",8,380,0.0418778928807582,2,total_distance
"[1.58,2)",2,17,0.104938271604938,2,total_distance
"[1.58,2)",7,82760,0.0260188243490421,2,total_distance
"[1.58,2)",All Data,174476,0.0159270639133733,2,total_distance
"[2,2.51)",4,73715,0.034661992090022,2.51,total_distance
"[2,2.51)",3,4638,0.0574692704203013,2.51,total_distance
"[2,2.51)",6,22452,0.0295835611745406,2.51,total_distance
"[2,2.51)",1,4925,0.0424759374892193,2.51,total_distance
"[2,2.51)",5,148,0.168757126567845,2.51,total_distance
"[2,2.51)",8,429,0.0472779369627507,2.51,total_distance
"[2,2.51)",7,103970,0.0326870126579254,2.51,total_distance
"[2,2.51)",2,11,0.0679012345679012,2.51,total_distance
"[2,2.51)",All Data,210288,0.0191961669009804,2.51,total_distance
"[2.51,3.16)",4,85044,0.039989072173965,3.16,total_distance
"[2.51,3.16)",3,5436,0.0673572561459159,3.16,total_distance
"[2.51,3.16)",6,26022,0.0342875213292311,3.16,total_distance
"[2.51,3.16)",1,5228,0.0450891779073378,3.16,total_distance
"[2.51,3.16)",5,62,0.0706955530216648,3.16,total_distance
"[2.51,3.16)",8,509,0.056094335463963,3.16,total_distance
"[2.51,3.16)",7,127760,0.0401663242971679,3.16,total_distance
"[2.51,3.16)",2,14,0.0864197530864198,3.16,total_distance
"[2.51,3.16)",All Data,250075,0.022828128270575,3.16,total_distance
"[3.16,3.98)",4,97780,0.0459777465449684,3.98,total_distance
"[3.16,3.98)",3,5719,0.0708638977002379,3.98,total_distance
"[3.16,3.98)",6,28381,0.0373958244118403,3.98,total_distance
"[3.16,3.98)",1,5739,0.0494963259392141,3.98,total_distance
"[3.16,3.98)",8,567,0.0624862243773419,3.98,total_distance
"[3.16,3.98)",5,38,0.0433295324971494,3.98,total_distance
"[3.16,3.98)",7,152590,0.047972600379656,3.98,total_distance
"[3.16,3.98)",2,19,0.117283950617284,3.98,total_distance
"[3.16,3.98)",All Data,290833,0.0265487274990148,3.98,total_distance
"[3.98,5.01)",4,108108,0.0508341401460774,5.01,total_distance
"[3.98,5.01)",3,6351,0.0786949841395718,5.01,total_distance
"[3.98,5.01)",6,32644,0.0430129062436177,5.01,total_distance
"[3.98,5.01)",1,6440,0.0555421395798116,5.01,total_distance
"[3.98,5.01)",8,616,0.0678862684593344,5.01,total_distance
"[3.98,5.01)",5,32,0.0364880273660205,5.01,total_distance
"[3.98,5.01)",7,180338,0.0566962632365581,5.01,total_distance
"[3.98,5.01)",2,13,0.0802469135802469,5.01,total_distance
"[3.98,5.01)",All Data,334542,0.0305387091388371,5.01,total_distance
"[5.01,6.31)",3,6589,0.0816440325138779,6.31,total_distance
"[5.01,6.31)",6,37407,0.0492888060242313,6.31,total_distance
"[5.01,6.31)",4,119094,0.0559999360505878,6.31,total_distance
"[5.01,6.31)",1,6432,0.0554731431331287,6.31,total_distance
"[5.01,6.31)",8,659,0.072625082653736,6.31,total_distance
"[5.01,6.31)",5,25,0.0285062713797035,6.31,total_distance
"[5.01,6.31)",7,208037,0.0654045210379612,6.31,total_distance
"[5.01,6.31)",2,13,0.0802469135802469,6.31,total_distance
"[5.01,6.31)",All Data,378256,0.0345291472042971,6.31,total_distance
"[6.31,7.94)",4,129834,0.0610500587535225,7.94,total_distance
"[6.31,7.94)",3,7365,0.0912594171292625,7.94,total_distance
"[6.31,7.94)",6,40523,0.0533945594813785,7.94,total_distance
"[6.31,7.94)",1,6991,0.060294269845103,7.94,total_distance
"[6.31,7.94)",8,611,0.0673352435530086,7.94,total_distance
"[6.31,7.94)",7,229064,0.0720151761803888,7.94,total_distance
"[6.31,7.94)",2,12,0.0740740740740741,7.94,total_distance
"[6.31,7.94)",All Data,414407,0.0378291958501416,7.94,total_distance
"[7.94,10)",3,6884,0.0852993655828708,10,total_distance
"[7.94,10)",4,136545,0.0642056801184569,10,total_distance
"[7.94,10)",6,44604,0.0587718315797796,10,total_distance
"[7.94,10)",1,7224,0.0623037913547452,10,total_distance
"[7.94,10)",8,697,0.0768128719418118,10,total_distance
"[7.94,10)",7,253336,0.0796460232635201,10,total_distance
