n_visits,app_cluster,n_uid_date,p_uid_date
1,3,822767,0.847544977414719
1,4,1382075,0.33665102534148
1,6,279718,0.236107523723185
1,5,10581,0.760457093574817
1,1,242396,0.509364775499654
1,8,8570,0.416545154077962
1,2,7662,0.881906077348066
1,7,661356,0.158425243175212
1,All Data,3415125,0.311751515659395
2,3,124597,0.128349291538117
2,4,739150,0.180044936332077
2,6,165463,0.139665874909049
2,1,143083,0.300670968880745
2,8,3055,0.14848838339652
2,5,2658,0.191030616645106
2,2,949,0.109231123388582
2,7,480422,0.115083211124904
2,All Data,1659377,0.151477118641438
3,3,19039,0.0196123675657857
3,6,199299,0.168226547345924
3,4,624514,0.152121468400853
3,1,61870,0.130012040875937
3,8,3120,0.151647710702829
3,5,554,0.0398160126491304
3,2,65,0.00748158379373849
3,7,598178,0.143291200370242
3,All Data,1506639,0.137534348465006
4,3,3093,0.00318614700777222
4,4,403084,0.0981847163856847
4,6,146858,0.123961556706896
4,1,17367,0.0364945710989558
4,8,1848,0.0898221055701371
4,5,99,0.00711513583441139
4,7,550602,0.131894555644401
4,2,12,0.00138121546961326
4,All Data,1122963,0.102510279207766
5,6,121276,0.102368013667526
5,4,308437,0.0751302442365647
5,3,844,0.000869417418221712
5,1,6587,0.0138417538912202
5,8,1408,0.0684358899581997
5,5,22,0.00158114129653586
5,7,487395,0.116753566002853
5,2,,
5,All Data,925973,0.0845279414983864
6,4,212176,0.051682627898525
6,3,235,0.000242077124741827
6,6,86535,0.0730434386252792
6,1,2431,0.00510844143154037
6,8,919,0.0446680276076602
6,5,,
6,7,389873,0.093392552320459
6,All Data,692171,0.0631852006428693
7,4,146160,0.035602202386926
7,3,116,0.000119493389234264
7,6,61078,0.0515554069954909
7,1,1048,0.00220224048550157
7,8,632,0.0307183824244192
7,7,296140,0.0709391787689343
7,All Data,505174,0.046115079293355
8,4,97070,0.0236446756000199
8,3,41,4.22347324017656e-05
8,6,41224,0.0347968187887965
8,1,498,0.00104648450551506
8,8,399,0.0193934091571887
8,7,215367,0.051590322529645
8,All Data,354599,0.0323697597309925
9,4,64070,0.0156064115143018
9,6,27732,0.0234083392841768
9,1,250,0.000525343627266595
9,8,252,0.0122484689413823
9,3,21,2.16324239130995e-05
9,7,151914,0.0363904045502259
9,All Data,244239,0.0222954879933048
10,4,41633,0.010141122687294
10,6,18107,0.0152839607463793
10,3,12,1.23613850931997e-05
10,1,140,0.000294192431269293
10,8,138,0.00670749489647128
10,7,104999,0.0251520997891515
10,All Data,165029,0.0150647606977063
