wday,app_cluster,value,p
1,1,302608,0.135554772132002
2,1,346642,0.15528002340117
3,1,344794,0.154452202527631
4,1,323260,0.144805939166813
5,1,309420,0.138606241715632
6,1,308183,0.138052121358182
7,1,297460,0.133248699698571
1,2,9680,0.164993437760998
2,2,8211,0.139954660894169
3,2,7850,0.133801496531388
4,2,8006,0.136460481685388
5,2,7680,0.130903884504594
6,2,8024,0.136767287664695
7,2,9218,0.157118750958769
1,3,770929,0.117354884779923
2,3,932057,0.141882640091786
3,3,966787,0.147169424151546
4,3,986673,0.150196576118502
5,3,991151,0.150878240933348
6,3,1022880,0.155708196920452
7,3,898734,0.136810037004444
1,4,6764810,0.120200993788961
2,4,8174756,0.145253716687131
3,4,8408297,0.149403406078329
4,4,8355891,0.148472226447193
5,4,8367707,0.148682179859426
6,4,8535109,0.151656673860331
7,4,7672582,0.136330803278628
1,5,30300,0.111600565737521
2,5,41814,0.154008780717779
3,5,42523,0.156620160292298
4,5,40934,0.150767576168307
5,5,41593,0.153194796393423
6,5,41650,0.153404738051741
7,5,32690,0.12040338263893
1,6,1976463,0.123273122656777
2,6,2321339,0.144783235140227
3,6,2332879,0.145502991510804
4,6,2327177,0.145147354524233
5,6,2351717,0.146677928296673
6,6,2437413,0.152022836609753
7,6,2286215,0.142592531261533
1,7,4074417,0.108973224509983
2,7,5483187,0.146651795332
3,7,5663025,0.151461692490152
4,7,5622869,0.150387691276377
5,7,5687366,0.152112710110046
6,7,5838476,0.156154256165765
7,7,5019817,0.134258630115678
1,8,34484,0.13089490146063
2,8,38694,0.146875284686162
3,8,38251,0.145193738422763
4,8,37943,0.144024627250919
5,8,37823,0.143569129391759
6,8,38697,0.146886672132641
7,8,37556,0.142555646655127
